county,investment_window,project,year_of_completion,programme,funding_source,brief,category,investment_class,investment_type/water_supply,investment_type/sanitation,investment_type/water_resources,investment_exists_group/other_data/completed,investment_exists_group/other_data/date_completed,investment_exists_group/investment/branded,investment_exists_group/investment/branding_condition,investment_exists_group/sustainability/operational_status,sustainability/investment_needs_major_repair,investment_exists_group/sustainability/reliability,investment_exists_group/sustainability/condition_of_facility,investment_exists_group/sustainability/quality_of_work,investment_exists_group/sustainability/revenue_collected,sustainability/operations_responsibility,impact_and_gesi/operations_responsibility_GESI,impact_and_gesi/Number_of_people_beneficiaries_inc_children,investment_exists_group/impact_and_gesi/facility_hygiene_level,impact_and_gesi/functional_handwashing_facility,investment_exists_group/impact_and_gesi/water_quantity,investment_exists_group/impact_and_gesi/water_quality,investment_exists_group/impact_and_gesi/service_reliability,impact_and_gesi/service_reliability_hours_per_day,impact_and_gesi/service_reliability_days_per_month,impact_and_gesi/service_reliability_months_per_year,impact_and_gesi/facility_provisional_to/Disability,impact_and_gesi/facility_provisional_to/Gender,impact_and_gesi/facility_provisional_to/Age,investment_exists_group/Facility_picture,_GPS_location_latitude,_GPS_location_longitude,_GPS_location_altitude,_GPS_location_precision
Garissa,RIP,Jaribu Primary School,2013/2014,MTAP I,Danida,"Two, 2 Door, Vip Latrines and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41974,yes,Good,Operational,yes,n/a,Fair,Fair,n/a,n/a,n/a,1157,Good,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10786103?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548653615193.jpg,-0.447688333,39.63940833,152.1,3.1
Garissa,RIP,Kazuko Girls Primary School,2013/2014,MTAP I,Danida,"Two, 2 Door, Vip Latrines and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41974,yes,Fair,Operational,yes,n/a,Fair,Good,n/a,n/a,n/a,300,Good,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10786191?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548655111833.jpg,-0.448016667,39.636745,116.1,5
Garissa,RIP,Hyuga Girls Primary School,2014/2015,MTAP I,Danida,"Two, 2 Door, Vip Latrines and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41974,yes,Good,Operational,no,n/a,Good,Good,n/a,n/a,n/a,520,Good,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10786352?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548656656677.jpg,-0.44206643,39.63751724,120.0133667,4.288
Garissa,RIP,ADC Primary School,2013/2014,MTAP I,Danida,"Two, 2 Door, Vip Latrines and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41974,yes,Fair,Operational,no,n/a,Fair,Fair,n/a,n/a,n/a,600,Fair,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10786435?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548658620946.jpg,-0.42210649,39.63674084,130.144104,5.36
Garissa,RIP,Tumaini Primary School,2014/2015,MTAP I,Danida,"Two, 2 Door, Vip Latrines and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41974,no,n/a,Operational,yes,n/a,Good,Good,n/a,n/a,n/a,611,Fair,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10786525?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548660771479.jpg,-0.42300918,39.64440137,128.5489502,5.36
Garissa,RIP,Garissa School for the Deaf,2014/2015,MTAP I,Danida,"Two, 2 Door, Vip Latrines and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41974,no,n/a,Operational,no,n/a,Good,Good,n/a,n/a,n/a,160,Good,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10786560?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548664454656.jpg,-0.445243333,39.66098833,151.2,6
Garissa,RIP,Bula College Primary School,2013/2014,MTAP I,Danida,"Two, 2 Door, Vip Latrines and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41974,yes,Fair,Operational,yes,n/a,Fair,Fair,n/a,n/a,n/a,309,Fair,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10786707?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548665621223.jpg,-0.44909,39.66508333,102,5.4
Garissa,RIP,Bulla Mzuri Primary School,2013/2014,MTAP I,Danida,"Two, 2 Door, Vip Latrines and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41974,yes,Fair,Non_operational,yes,n/a,Fair,Fair,n/a,n/a,n/a,280,Fair,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10786841?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548668055588.jpg,-0.461616667,39.67432333,130.6,5.6
Garissa,RIP,Najah Primary School,2013/2014,MTAP I,Danida,"Two, 2 Door, Vip Latrines and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41974,yes,Good,Operational,yes,n/a,Good,Good,n/a,n/a,n/a,352,Fair,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10786901?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548675201666.jpg,-0.483393333,39.65328,145.7,5.4
Garissa,RIP,Al-Fatah Primary School,2013/2014,MTAP I,Danida,"Two, 2 Door, Vip Latrines and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41974,yes,Good,Operational,yes,n/a,Good,Good,n/a,n/a,n/a,345,Good,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10787029?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548678808072.jpg,-0.48402387,39.66576356,128.0014038,4.288
Garissa,RIP,Sambul Primary School,2013/2014,MTAP I,Danida,"Two, 2 Door, Vip Latrines and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41974,yes,Fair,Operational,yes,n/a,Good,Good,n/a,n/a,n/a,550,Good,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10787170?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548680554200.jpg,-0.46928684,39.6412332,127.4683228,3.216
Samburu,UIP,Milimani-Lporos Area Water Project,2017/2018,UPC,KfW,"7 Kiosks, 9,442 M pipe, 100  Consumer Meters",water_supply,pipeline,n/a,n/a,n/a,yes,42736,no,n/a,Non_operational,yes,Rare_or_Not,Fair,Fair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789022?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548660224948.jpg,1.083493333,36.68496167,1946.5,5.7
Samburu,UIP,Milimani-Lporos Area Water Project,2017/2018,UPC,KfW,"7 Kiosks, 9,442 M pipe, 100  Consumer Meters",water_supply,pipeline,n/a,n/a,n/a,yes,42736,no,n/a,Non_operational,yes,Rare_or_Not,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789023?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548665572891.jpg,1.103335,36.68365167,2109.1,5.9
